Time	cb	gl	xy
6.420000000000000000e+02	1.270375525799698702e+00	1.536743552358400500e+01	7.499114483915255924e+00
6.450000000000000000e+02	1.273769936527662905e+00	1.539236332616531833e+01	7.505649798039497611e+00
6.480000000000000000e+02	1.271136793446316693e+00	1.559297650700683313e+01	7.586773571146887107e+00
6.510000000000000000e+02	1.266121658465174438e+00	1.551979500955405911e+01	7.554147445210437795e+00
6.540000000000000000e+02	1.261038514309458014e+00	1.554215011504376065e+01	7.555936825383684052e+00
6.570000000000000000e+02	1.261931141383178412e+00	1.551813730683937287e+01	7.553836739159962121e+00
6.600000000000000000e+02	1.263865417024117033e+00	1.553037984158310891e+01	7.532500733672958582e+00
6.630000000000000000e+02	1.263104952350952992e+00	1.549898275265421077e+01	7.516030642071653389e+00
6.660000000000000000e+02	1.273485261085307796e+00	1.550781455297088662e+01	7.541364150736252547e+00
6.690000000000000000e+02	1.280360985900516502e+00	1.547322657986728345e+01	7.525954682824069764e+00
6.720000000000000000e+02	1.277106772248365552e+00	1.548499905203009774e+01	7.536328884023952845e+00
6.750000000000000000e+02	1.269113907362736438e+00	1.539151434494423398e+01	7.494638254927102672e+00
6.780000000000000000e+02	1.277140230102886465e+00	1.532106632105228350e+01	7.458346542590281736e+00
6.810000000000000000e+02	1.277031219060303036e+00	1.542732085498098016e+01	7.509277785379842918e+00
6.840000000000000000e+02	1.279528142769810639e+00	1.533180892966444731e+01	7.463564693377813697e+00
6.870000000000000000e+02	1.283992217294846805e+00	1.546748502276152770e+01	7.560863012905106650e+00
6.900000000000000000e+02	1.283134412842966920e+00	1.550783976127442543e+01	7.564191935431153091e+00
6.930000000000000000e+02	1.265223862143647793e+00	1.550783328760956969e+01	7.567848426997088040e+00
6.960000000000000000e+02	1.265479324341433509e+00	1.559168987997519906e+01	7.608157079290011282e+00
6.990000000000000000e+02	1.258016071574639794e+00	1.564694854889273046e+01	7.621131465772712943e+00
7.020000000000000000e+02	1.264372132180467068e+00	1.575766430558797637e+01	7.686412171177956942e+00
7.050000000000000000e+02	1.254968695902283882e+00	1.588255130162808726e+01	7.758354441146043889e+00
7.080000000000000000e+02	1.235308368989258110e+00	1.578411651919140546e+01	7.704982016606225947e+00
7.110000000000000000e+02	1.226755417906677748e+00	1.594050090376417828e+01	7.787728619155427801e+00
7.140000000000000000e+02	1.221323540018862230e+00	1.584412996851408195e+01	7.737789692832345523e+00
7.170000000000000000e+02	1.225403487166973449e+00	1.586510773207949399e+01	7.762799014244941453e+00
7.200000000000000000e+02	1.227500711426154023e+00	1.597841743649985702e+01	7.816140866291195977e+00
7.230000000000000000e+02	1.224212610279130642e+00	1.610335160469326965e+01	7.877934167197728321e+00
7.260000000000000000e+02	1.232439133459596325e+00	1.620409715499924630e+01	7.929826058538671063e+00
7.290000000000000000e+02	1.230170903318602571e+00	1.628594449621484941e+01	7.950780329474157249e+00
7.320000000000000000e+02	1.223916274458632714e+00	1.641498720463381389e+01	8.010116536122412256e+00
7.350000000000000000e+02	1.227554917131391310e+00	1.659138444513402533e+01	8.090572773111823324e+00
7.380000000000000000e+02	1.230824719608186291e+00	1.677146589692645406e+01	8.168719132092860491e+00
7.410000000000000000e+02	1.225490483480484505e+00	1.684720645407816164e+01	8.182821434438011465e+00
7.440000000000000000e+02	1.217777124970838232e+00	1.691336317133703204e+01	8.213467309305915620e+00
7.470000000000000000e+02	1.212955701219571525e+00	1.699852152615643774e+01	8.248546529347379419e+00
7.500000000000000000e+02	1.215408983239226526e+00	1.694835534074054095e+01	8.218883726755189301e+00
7.530000000000000000e+02	1.212120315801513692e+00	1.698979666164897395e+01	8.223755236410092095e+00
7.560000000000000000e+02	1.208143615991854825e+00	1.690964942424720974e+01	8.198660795739955987e+00
7.590000000000000000e+02	1.212396083779480271e+00	1.700863907859791269e+01	8.236365167109440222e+00
7.620000000000000000e+02	1.215964828994183566e+00	1.700478881833925016e+01	8.233756935220553075e+00
7.650000000000000000e+02	1.217077917531802944e+00	1.704403384766441221e+01	8.265079253952698934e+00
7.680000000000000000e+02	1.215061745177495656e+00	1.719217778407774944e+01	8.341364170261860167e+00
7.710000000000000000e+02	1.217547184477773881e+00	1.724920177267805599e+01	8.372668278768724548e+00
7.740000000000000000e+02	1.219968213963988912e+00	1.717022177675870864e+01	8.317794974931178587e+00
